Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	File_identifier
3346	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Klementvirus		Klementvirus CP1	E	Xanthomonas phage CP1			AB720063	NC_019933	Complete genome	dsDNA	bacteria	Klementvirus_CP1.3346.AB720063
3347	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Knuthellervirus		Knuthellervirus PMBT14	E	Pseudomonas phage PMBT14			MG596800	NC_048687	Complete genome	dsDNA	bacteria	Knuthellervirus_PMBT14.3347.MG596800
3348	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Kochitakasuvirus		Kochitakasuvirus KPP25	E	Pseudomonas phage KPP25			AB910393	NC_024123	Complete genome	dsDNA	bacteria	Kochitakasuvirus_KPP25.3348.AB910393
3349	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Kochitakasuvirus		Kochitakasuvirus R18	E	Pseudomonas phage PhiR18			LC102729	NC_041964	Complete genome	dsDNA	bacteria	Kochitakasuvirus_R18.3349.LC102729
3350	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Kojivirus		Kojivirus golden	E	Microbacterium phage Golden			MG925343	NC_042117	Complete genome	dsDNA	bacteria	Kojivirus_golden.3350.MG925343
3351	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Kojivirus		Kojivirus koji	E	Microbacterium phage Koji			MG925345	NC_042118	Complete genome	dsDNA	bacteria	Kojivirus_koji.3351.MG925345
3352	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Konstantinevirus		Konstantinevirus konstantine	E	Mycobacterium phage Konstantine			FJ174691	NC_011292	Complete genome	dsDNA	bacteria	Konstantinevirus_konstantine.3352.FJ174691
3353	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus bennie	E	Arthrobacter phage Bennie			KU160640	NC_041938	Complete genome	dsDNA	bacteria	Korravirus_bennie.3353.KU160640
3354	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus bigmack	E	Arthrobacter phage BigMack			MK112529	NC_054418	Complete genome	dsDNA	bacteria	Korravirus_bigmack.3354.MK112529
3355	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus drrobert	E	Arthrobacter phage DrRobert			KU160643	NC_041939	Complete genome	dsDNA	bacteria	Korravirus_drrobert.3355.KU160643
